gandasarigoskaravo gandasu(N26MASC)+aru_u_PUR+rigoskaravo_ru_INDF
gandasarigoskaravo gandasu(N26MASC)+aru_u_PUR+rigoskaravo_ru_PRES
gandasarigoskarave gandasu(N26MASC)+aru_u_PUR+rigoskarave_ru_IMPH
gandasarigoskarave gandasu(N26MASC)+aru_u_PUR+rigoskarave_ru_DECL
gandasarigoskarave gandasu(N26MASC)+aru_u_PUR+rigoskarave_ru_RIS
gandasarigAgiyA gandasu(N26MASC)+aru_u_BEN+rigAgiyA_ru_INTR
gandasarigAgiyU gandasu(N26MASC)+aru_u_BEN+rigAgiyU_ru_INCL
gandasarigAgiyo gandasu(N26MASC)+aru_u_BEN+rigAgiyo_ru_DUB
gandasarigAgiyo gandasu(N26MASC)+aru_u_BEN+rigAgiyo_ru_INDF
gandasarigAgiyo gandasu(N26MASC)+aru_u_BEN+rigAgiyo_ru_PRES
gandasarigAgiye gandasu(N26MASC)+aru_u_BEN+rigAgiye_ru_IMPH
gandasarigAgiye gandasu(N26MASC)+aru_u_BEN+rigAgiye_ru_DECL
gandasarigAgiye gandasu(N26MASC)+aru_u_BEN+rigAgiye_ru_RIS
gandasarigAgiyA gandasu(N26MASC)+aru_u_PUR+rigAgiyA_ru_INTR
gandasarigAgiyU gandasu(N26MASC)+aru_u_PUR+rigAgiyU_ru_INCL
gandasarigAgiyo gandasu(N26MASC)+aru_u_PUR+rigAgiyo_ru_DUB
gandasarigAgiyo gandasu(N26MASC)+aru_u_PUR+rigAgiyo_ru_INDF
gandasarigAgiyo gandasu(N26MASC)+aru_u_PUR+rigAgiyo_ru_PRES
gandasarigAgiye gandasu(N26MASC)+aru_u_PUR+rigAgiye_ru_IMPH
gandasarigAgiye gandasu(N26MASC)+aru_u_PUR+rigAgiye_ru_DECL
gandasarigAgiye gandasu(N26MASC)+aru_u_PUR+rigAgiye_ru_RIS
gandasarigosugavA gandasu(N26MASC)+aru_u_BEN+rigosugavA_ru_INTR
gandasarigosugavU gandasu(N26MASC)+aru_u_BEN+rigosugavU_ru_INCL
gandasarigosugavo gandasu(N26MASC)+aru_u_BEN+rigosugavo_ru_DUB
gandasarigosugavo gandasu(N26MASC)+aru_u_BEN+rigosugavo_ru_INDF
gandasarigosugavo gandasu(N26MASC)+aru_u_BEN+rigosugavo_ru_PRES
gandasarigosugave gandasu(N26MASC)+aru_u_BEN+rigosugave_ru_IMPH
gandasarigosugave gandasu(N26MASC)+aru_u_BEN+rigosugave_ru_DECL
gandasarigosugave gandasu(N26MASC)+aru_u_BEN+rigosugave_ru_RIS
gandasarigosugavA gandasu(N26MASC)+aru_u_PUR+rigosugavA_ru_INTR
gandasarigosugavU gandasu(N26MASC)+aru_u_PUR+rigosugavU_ru_INCL
gandasarigosugavo gandasu(N26MASC)+aru_u_PUR+rigosugavo_ru_DUB
gandasarigosugavo gandasu(N26MASC)+aru_u_PUR+rigosugavo_ru_INDF
gandasarigosugavo gandasu(N26MASC)+aru_u_PUR+rigosugavo_ru_PRES
gandasarigosugave gandasu(N26MASC)+aru_u_PUR+rigosugave_ru_IMPH
gandasarigosugave gandasu(N26MASC)+aru_u_PUR+rigosugave_ru_DECL
gandasarigosugave gandasu(N26MASC)+aru_u_PUR+rigosugave_ru_RIS
gandasarigiMwalA gandasu(N26MASC)+aru_u_COMP+rigiMwalA_ru_INTR
gandasarigiMwalU gandasu(N26MASC)+aru_u_COMP+rigiMwalU_ru_INCL
gandasarigiMwalo gandasu(N26MASC)+aru_u_COMP+rigiMwalo_ru_DUB
gandasarigiMwalo gandasu(N26MASC)+aru_u_COMP+rigiMwalo_ru_INDF
gandasarigiMwalo gandasu(N26MASC)+aru_u_COMP+rigiMwalo_ru_PRES
gandasarigiMwale gandasu(N26MASC)+aru_u_COMP+rigiMwale_ru_IMPH
gandasarigiMwale gandasu(N26MASC)+aru_u_COMP+rigiMwale_ru_DECL
gandasarigiMwale gandasu(N26MASC)+aru_u_COMP+rigiMwale_ru_RIS
gandasaraMweVyA gandasu(N26MASC)+aru_u_SIM+raMweVyA_ru_INTR
gandasaraMweVyU gandasu(N26MASC)+aru_u_SIM+raMweVyU_ru_INCL
gandasaraMweVyo gandasu(N26MASC)+aru_u_SIM+raMweVyo_ru_DUB
gandasaraMweVyo gandasu(N26MASC)+aru_u_SIM+raMweVyo_ru_INDF
gandasaraMweVyo gandasu(N26MASC)+aru_u_SIM+raMweVyo_ru_PRES
gandasaraMweVye gandasu(N26MASC)+aru_u_SIM+raMweVye_ru_IMPH
gandasaraMweVye gandasu(N26MASC)+aru_u_SIM+raMweVye_ru_DECL
gandasaraMweVye gandasu(N26MASC)+aru_u_SIM+raMweVye_ru_RIS
