ajjaMxirigoskaravo ajja(N23MASC)+aMxiru_#_BEN+rigoskaravo_aMxiru_DUB
ajjaMxirigoskaravo ajja(N23MASC)+aMxiru_#_BEN+rigoskaravo_aMxiru_INDF
ajjaMxirigoskaravo ajja(N23MASC)+aMxiru_#_BEN+rigoskaravo_aMxiru_PRES
ajjaMxirigoskarave ajja(N23MASC)+aMxiru_#_BEN+rigoskarave_aMxiru_IMPH
ajjaMxirigoskarave ajja(N23MASC)+aMxiru_#_BEN+rigoskarave_aMxiru_DECL
ajjaMxirigoskarave ajja(N23MASC)+aMxiru_#_BEN+rigoskarave_aMxiru_RIS
ajjaMxirigoskaravA ajja(N23MASC)+aMxiru_#_PUR+rigoskaravA_aMxiru_INTR
ajjaMxirigoskaravU ajja(N23MASC)+aMxiru_#_PUR+rigoskaravU_aMxiru_INCL
ajjaMxirigoskaravo ajja(N23MASC)+aMxiru_#_PUR+rigoskaravo_aMxiru_DUB
ajjaMxirigoskaravo ajja(N23MASC)+aMxiru_#_PUR+rigoskaravo_aMxiru_INDF
ajjaMxirigoskaravo ajja(N23MASC)+aMxiru_#_PUR+rigoskaravo_aMxiru_PRES
ajjaMxirigoskarave ajja(N23MASC)+aMxiru_#_PUR+rigoskarave_aMxiru_IMPH
ajjaMxirigoskarave ajja(N23MASC)+aMxiru_#_PUR+rigoskarave_aMxiru_DECL
ajjaMxirigoskarave ajja(N23MASC)+aMxiru_#_PUR+rigoskarave_aMxiru_RIS
ajjaMxirigAgiyA ajja(N23MASC)+aMxiru_#_BEN+rigAgiyA_aMxiru_INTR
ajjaMxirigAgiyU ajja(N23MASC)+aMxiru_#_BEN+rigAgiyU_aMxiru_INCL
ajjaMxirigAgiyo ajja(N23MASC)+aMxiru_#_BEN+rigAgiyo_aMxiru_DUB
ajjaMxirigAgiyo ajja(N23MASC)+aMxiru_#_BEN+rigAgiyo_aMxiru_INDF
ajjaMxirigAgiyo ajja(N23MASC)+aMxiru_#_BEN+rigAgiyo_aMxiru_PRES
ajjaMxirigAgiye ajja(N23MASC)+aMxiru_#_BEN+rigAgiye_aMxiru_IMPH
ajjaMxirigAgiye ajja(N23MASC)+aMxiru_#_BEN+rigAgiye_aMxiru_DECL
ajjaMxirigAgiye ajja(N23MASC)+aMxiru_#_BEN+rigAgiye_aMxiru_RIS
ajjaMxirigAgiyA ajja(N23MASC)+aMxiru_#_PUR+rigAgiyA_aMxiru_INTR
ajjaMxirigAgiyU ajja(N23MASC)+aMxiru_#_PUR+rigAgiyU_aMxiru_INCL
ajjaMxirigAgiyo ajja(N23MASC)+aMxiru_#_PUR+rigAgiyo_aMxiru_DUB
ajjaMxirigAgiyo ajja(N23MASC)+aMxiru_#_PUR+rigAgiyo_aMxiru_INDF
ajjaMxirigAgiyo ajja(N23MASC)+aMxiru_#_PUR+rigAgiyo_aMxiru_PRES
ajjaMxirigAgiye ajja(N23MASC)+aMxiru_#_PUR+rigAgiye_aMxiru_IMPH
ajjaMxirigAgiye ajja(N23MASC)+aMxiru_#_PUR+rigAgiye_aMxiru_DECL
ajjaMxirigAgiye ajja(N23MASC)+aMxiru_#_PUR+rigAgiye_aMxiru_RIS
ajjaMxirigosugavA ajja(N23MASC)+aMxiru_#_BEN+rigosugavA_aMxiru_INTR
ajjaMxirigosugavU ajja(N23MASC)+aMxiru_#_BEN+rigosugavU_aMxiru_INCL
ajjaMxirigosugavo ajja(N23MASC)+aMxiru_#_BEN+rigosugavo_aMxiru_DUB
ajjaMxirigosugavo ajja(N23MASC)+aMxiru_#_BEN+rigosugavo_aMxiru_INDF
ajjaMxirigosugavo ajja(N23MASC)+aMxiru_#_BEN+rigosugavo_aMxiru_PRES
ajjaMxirigosugave ajja(N23MASC)+aMxiru_#_BEN+rigosugave_aMxiru_IMPH
ajjaMxirigosugave ajja(N23MASC)+aMxiru_#_BEN+rigosugave_aMxiru_DECL
ajjaMxirigosugave ajja(N23MASC)+aMxiru_#_BEN+rigosugave_aMxiru_RIS
ajjaMxirigosugavA ajja(N23MASC)+aMxiru_#_PUR+rigosugavA_aMxiru_INTR
ajjaMxirigosugavU ajja(N23MASC)+aMxiru_#_PUR+rigosugavU_aMxiru_INCL
ajjaMxirigosugavo ajja(N23MASC)+aMxiru_#_PUR+rigosugavo_aMxiru_DUB
ajjaMxirigosugavo ajja(N23MASC)+aMxiru_#_PUR+rigosugavo_aMxiru_INDF
ajjaMxirigosugavo ajja(N23MASC)+aMxiru_#_PUR+rigosugavo_aMxiru_PRES
ajjaMxirigosugave ajja(N23MASC)+aMxiru_#_PUR+rigosugave_aMxiru_IMPH
ajjaMxirigosugave ajja(N23MASC)+aMxiru_#_PUR+rigosugave_aMxiru_DECL
ajjaMxirigosugave ajja(N23MASC)+aMxiru_#_PUR+rigosugave_aMxiru_RIS
ajjaMxirigiMwalA ajja(N23MASC)+aMxiru_#_COMP+rigiMwalA_aMxiru_INTR
ajjaMxirigiMwalU ajja(N23MASC)+aMxiru_#_COMP+rigiMwalU_aMxiru_INCL
ajjaMxirigiMwalo ajja(N23MASC)+aMxiru_#_COMP+rigiMwalo_aMxiru_DUB
ajjaMxirigiMwalo ajja(N23MASC)+aMxiru_#_COMP+rigiMwalo_aMxiru_INDF
ajjaMxirigiMwalo ajja(N23MASC)+aMxiru_#_COMP+rigiMwalo_aMxiru_PRES
ajjaMxirigiMwale ajja(N23MASC)+aMxiru_#_COMP+rigiMwale_aMxiru_IMPH
ajjaMxirigiMwale ajja(N23MASC)+aMxiru_#_COMP+rigiMwale_aMxiru_DECL
ajjaMxirigiMwale ajja(N23MASC)+aMxiru_#_COMP+rigiMwale_aMxiru_RIS
ajjaMxiraMweVyA ajja(N23MASC)+aMxiru_#_SIM+raMweVyA_aMxiru_INTR
ajjaMxiraMweVyU ajja(N23MASC)+aMxiru_#_SIM+raMweVyU_aMxiru_INCL
ajjaMxiraMweVyo ajja(N23MASC)+aMxiru_#_SIM+raMweVyo_aMxiru_DUB
ajjaMxiraMweVyo ajja(N23MASC)+aMxiru_#_SIM+raMweVyo_aMxiru_INDF
ajjaMxiraMweVyo ajja(N23MASC)+aMxiru_#_SIM+raMweVyo_aMxiru_PRES
ajjaMxiraMweVye ajja(N23MASC)+aMxiru_#_SIM+raMweVye_aMxiru_IMPH
ajjaMxiraMweVye ajja(N23MASC)+aMxiru_#_SIM+raMweVye_aMxiru_DECL
